year,team,days,lineup,igl,awp,worst_conf,status
2024,Falcons,185,Magisk|Snappi|SunPayus|dupreeh|maden,Snappi,SunPayus|maden,medium,ok
2024,G2,182,NiKo|Snax|huNter-|m0NESY|malbsMd,Snax,m0NESY,high,ok
2024,HEROIC,234,NertZ|TeSeS|degster|kyxsan|sjuush,kyxsan,degster,medium,ok
2024,Imperial,197,HEN1|VINI|decenty|felps|noway,,HEN1|noway,medium,NO_IGL
2024,Liquid,169,NAF|Twistzz|YEKINDAR|cadiaN|skullz,cadiaN,cadiaN,medium,ok
2024,MIBR,267,brnz4n|drop|exit|insani|saffee,,saffee,high,NO_IGL
2024,MOUZ,358,Brollan|Jimpphat|siuhy|torzsi|xertioN,siuhy,torzsi,high,ok
2024,Natus Vincere,366,Aleksib|b1t|iM|jL|w0nderful,Aleksib,w0nderful,high,ok
2024,SAW,282,MUTiRiS|arrozdoce|ewjerkz|rmn|story,,MUTiRiS,medium,NO_IGL
2024,Spirit,366,chopper|donk|magixx|sh1ro|zont1x,chopper,sh1ro,high,ok
2024,The MongolZ,366,910|Senzu|Techno4K|bLitz|mzinho,bLitz,Senzu|Techno4K|mzinho,medium,ok
2024,Virtus.pro,240,FL1T|Jame|electroNic|fame|n0rb3r7,Jame,Jame,high,ok
2024,Vitality,366,Spinx|ZywOo|apEX|flameZ|mezii,apEX,ZywOo,high,ok
2024,paiN,242,biguzera|kauez|lux|nqz|snow,biguzera,nqz,medium,ok
2025,3DMAX,326,Ex3rcice|Graviti|Lucky|Maka|bodyy,Maka,Graviti|Lucky,medium,ok
2025,Astralis,121,HooXi|Magisk|Staehr|dev1ce|jabbi,HooXi,dev1ce,high,ok
2025,Aurora,265,MAJ3R|Wicadia|XANTARES|jottAAA|woxic,MAJ3R,woxic,high,ok
2025,B8,365,alex666|esenthial|headtr1ck|kensizor|npl,npl,headtr1ck,medium,ok
2025,Eternal Fire,115,Calyx|EMSTAR|imoRR|jresy|lugseN,,,,"NO_IGL,NO_AWP"
2025,FURIA,1,FalleN|KSCERATO|chelo|molodoy|skullz,FalleN,FalleN|molodoy,medium,ok
2025,Falcons,191,NiKo|TeSeS|kyousuke|kyxsan|m0NESY,kyxsan,m0NESY,medium,ok
2025,G2,167,HeavyGod|SunPayus|huNter-|malbsMd|matys,,HeavyGod|SunPayus,medium,NO_IGL
2025,GamerLegion,156,PR|REZ|Tauson|sl3nd|ztr,,Tauson|sl3nd,medium,NO_IGL
2025,HEROIC,93,Alkaren|LNZ|nilo|xfl0ud|yxngstxr,,xfl0ud,medium,NO_IGL
2025,Legacy,363,dumau|latto|lux|n1ssim|saadzin,,dumau,high,NO_IGL
2025,Liquid,169,NAF|NertZ|Twistzz|siuhy|ultimate,siuhy,ultimate,medium,ok
2025,MIBR,114,Lucaozy|brnz4n|exit|insani|saffee,,saffee,high,NO_IGL
2025,MOUZ,343,Brollan|Jimpphat|Spinx|torzsi|xertioN,,torzsi,high,NO_IGL
2025,Natus Vincere,188,Aleksib|b1t|iM|jL|w0nderful,Aleksib,w0nderful,high,ok
2025,Spirit,187,chopper|donk|magixx|sh1ro|zont1x,chopper,sh1ro,high,ok
2025,The MongolZ,295,910|Senzu|Techno4K|bLitz|mzinho,bLitz,Senzu|Techno4K|mzinho,medium,ok
2025,Virtus.pro,175,FL1T|FL4MUS|ICY|electroNic|fame,electroNic,FL4MUS|ICY,medium,ok
2025,Vitality,356,ZywOo|apEX|flameZ|mezii|ropz,apEX,ZywOo,high,ok
2025,paiN,230,biguzera|dav1deuS|dgt|nqz|snow,biguzera,nqz,medium,ok
